Model,Train,Task,Test,Time,Accuracy,F1,Precision,Recall,Matthews Correlation,AUC,Best Cutoff,Chi (alpha = 0.1),Chi (alpha = 0.05),Chi (alpha = 0.01)
ClaimbusterTransformer,claimbuster,checkworthy,checkthat2019,2022-10-02 14:12:20.137755,0.8074124505340198,0.1479668674698795,0.08298141891891891,0.6822916666666666,0.18997595206136747,,,Dependent,Dependent,Dependent
ClaimbusterTransformer,claimbuster,checkworthy,claimrank,2022-11-08 19:38:05.162220,0.7866957750096314,0.41983932937478174,0.34050991501416433,0.5473588342440802,0.3103456372120788,,,Dependent,Dependent,Dependent
ClaimbusterTransformer,claimbuster,checkworthy,checkthat2022,2022-10-02 14:12:20.223020,0.37530266343825663,0.3200301204819277,0.2087426326129666,0.6854838709677419,-0.02149038404207111,,,Independent,Independent,Independent
ClaimbusterTransformer,claimbuster,checkworthy,claimbuster,2022-11-08 19:38:05.810964,0.8527599541069987,0.728128677912907,0.6540738652382295,0.8210936117501327,0.6365829720915799,,,Dependent,Dependent,Dependent
ClaimbusterTransformer,claimbuster,checkworthy,multifc,2022-10-02 14:14:06.568371,0.661184304945607,0.7960396723917477,1.0,0.661184304945607,0.0,,,Independent,Independent,Independent
ClaimbusterTransformer,claimbuster,checkworthy,germeval,2022-10-02 16:54:59.478162,0.6635625596943648,0.03028217481073641,0.6111111111111112,0.015525758645024701,0.053679966936005984,,,Dependent,Dependent,Dependent
ClaimbusterTransformer,claimbuster,checkworthy,checkthat2021,2022-10-02 14:12:19.571748,0.8010478090269405,0.06548599670510709,0.034512698068157155,0.6385542168674698,0.11424238879296021,,,Dependent,Dependent,Dependent
svm,claimbuster,checkworthy,multifc,2022-11-02 16:59:49.709835,0.35650921658986173,0.5256274151768652,1.0,0.35650921658986173,0.0,,1.9999999999999698,Independent,Independent,Independent
svm,claimbuster,checkworthy,claimrank,2022-11-02 11:31:25.965153,0.841233839872987,0.2985971943887775,0.31837606837606836,0.2811320754716981,0.20998786794711277,0.7286277828851047,0.2046198512947107,Dependent,Dependent,Dependent
svm,claimbuster,checkworthy,claimbuster,2022-11-02 17:36:55.440453,0.8726628895184136,0.670091743119266,0.8977384464110127,0.5345433255269321,0.6282265994044063,0.9107753826186802,0.1994733147142438,Dependent,Dependent,Dependent
svm,claimbuster,checkworthy,checkthat2019,2022-11-02 12:53:19.675008,0.8082850737903979,0.4236978801066966,0.4963815789473684,0.3695811903012491,0.3165384299853168,0.7569576718488671,0.1958247767276755,Dependent,Dependent,Dependent
svm,claimbuster,checkworthy,checkthat2021,2022-11-02 14:15:47.832001,0.8634773045390922,0.3309652131308182,0.28750798042136627,0.3898989898989899,0.2605755878328526,0.7626685382288371,0.21983195618183513,Dependent,Dependent,Dependent
svm,claimbuster,checkworthy,checkthat2022,2022-11-02 15:37:06.031346,0.2926323071601522,0.31856047984005326,0.20075598488030238,0.7709677419354839,-0.0721346291409527,0.4257329441343163,0.8686429435832141,Dependent,Dependent,Dependent
svm,claimrank,checkworthy,multifc,2022-11-02 10:04:07.720311,0.06841028890745168,0.12805995902081313,1.0,0.06841028890745168,0.0,,1.9999999999999698,Independent,Independent,Independent
svm,claimrank,checkworthy,claimrank,2022-11-02 09:38:11.519101,0.9272260273972602,0.32,0.8695652173913043,0.19607843137254902,0.3927022398427482,0.8254228286061142,0.13312019073437792,Dependent,Dependent,Dependent
