Dataset,Count
Claimbuster,9
Claimbuster,16
Claimbuster,30
Claimbuster,36
Claimbuster,15
Claimbuster,21
Claimbuster,19
Claimbuster,23
Claimbuster,9
Claimbuster,7
Claimbuster,17
Claimbuster,7
Claimbuster,8
Claimbuster,13
Claimbuster,11
Claimbuster,36
Claimbuster,21
Claimbuster,9
Claimbuster,13
Claimbuster,19
Claimbuster,15
Claimbuster,14
Claimbuster,13
Claimbuster,43
Claimbuster,8
Claimbuster,38
Claimbuster,9
Claimbuster,21
Claimbuster,47
Claimbuster,11
Claimbuster,80
Claimbuster,53
Claimbuster,8
Claimbuster,14
Claimbuster,10
Claimbuster,5
Claimbuster,21
Claimbuster,9
Claimbuster,13
Claimbuster,19
Claimbuster,15
Claimbuster,14
Claimbuster,13
Claimbuster,43
Claimbuster,8
Claimbuster,38
Claimbuster,9
Claimbuster,21
Claimbuster,47
Claimbuster,11
Claimbuster,80
Claimbuster,53
Claimbuster,8
Claimbuster,14
Claimbuster,31
Claimbuster,10
Claimbuster,41
Claimbuster,26
Claimbuster,32
Claimbuster,50
Claimbuster,13
Claimbuster,8
Claimbuster,12
Claimbuster,9
Claimbuster,7
Claimbuster,11
Claimbuster,27
Claimbuster,15
Claimbuster,5
Claimbuster,39
Claimbuster,8
Claimbuster,18
Claimbuster,9
Claimbuster,40
Claimbuster,20
Claimbuster,23
Claimbuster,21
Claimbuster,18
Claimbuster,14
Claimbuster,28
Claimbuster,27
Claimbuster,24
Claimbuster,18
Claimbuster,43
Claimbuster,35
Claimbuster,33
Claimbuster,58
Claimbuster,12
Claimbuster,16
Claimbuster,13
Claimbuster,4
Claimbuster,44
Claimbuster,8
Claimbuster,14
Claimbuster,10
Claimbuster,6
Claimbuster,20
Claimbuster,9
Claimbuster,17
Claimbuster,16
Claimbuster,17
Claimbuster,6
Claimbuster,24
Claimbuster,34
Claimbuster,14
Claimbuster,26
Claimbuster,17
Claimbuster,21
Claimbuster,11
Claimbuster,7
Claimbuster,20
Claimbuster,30
Claimbuster,10
Claimbuster,10
Claimbuster,13
Claimbuster,15
Claimbuster,20
Claimbuster,8
Claimbuster,18
Claimbuster,42
Claimbuster,26
Claimbuster,13
Claimbuster,16
Claimbuster,43
Claimbuster,70
Claimbuster,9
Claimbuster,9
Claimbuster,33
Claimbuster,21
Claimbuster,8
Claimbuster,17
Claimbuster,11
Claimbuster,6
Claimbuster,17
Claimbuster,24
Claimbuster,19
Claimbuster,15
Claimbuster,62
Claimbuster,16
Claimbuster,34
Claimbuster,11
Claimbuster,27
Claimbuster,12
Claimbuster,15
Claimbuster,17
Claimbuster,12
Claimbuster,17
Claimbuster,6
Claimbuster,11
Claimbuster,43
Claimbuster,9
Claimbuster,20
Claimbuster,42
Claimbuster,41
Claimbuster,27
Claimbuster,20
Claimbuster,22
Claimbuster,25
Claimbuster,31
Claimbuster,19
Claimbuster,11
Claimbuster,10
Claimbuster,6
Claimbuster,75
Claimbuster,26
Claimbuster,13
Claimbuster,21
Claimbuster,8
Claimbuster,24
Claimbuster,7
Claimbuster,9
Claimbuster,15
Claimbuster,10
Claimbuster,8
Claimbuster,11
Claimbuster,14
Claimbuster,31
Claimbuster,44
Claimbuster,24
Claimbuster,16
Claimbuster,7
Claimbuster,14
Claimbuster,22
Claimbuster,14
Claimbuster,8
Claimbuster,11
Claimbuster,10
Claimbuster,11
Claimbuster,5
Claimbuster,9
Claimbuster,16
Claimbuster,10
Claimbuster,7
Claimbuster,21
Claimbuster,11
Claimbuster,30
Claimbuster,12
Claimbuster,26
Claimbuster,16
Claimbuster,11
Claimbuster,15
Claimbuster,5
Claimbuster,19
Claimbuster,24
Claimbuster,8
Claimbuster,7
Claimbuster,16
Claimbuster,6
Claimbuster,6
Claimbuster,13
Claimbuster,12
Claimbuster,12
Claimbuster,5
Claimbuster,6
Claimbuster,11
Claimbuster,8
Claimbuster,21
Claimbuster,44
Claimbuster,14
Claimbuster,27
Claimbuster,15
Claimbuster,9
Claimbuster,14
Claimbuster,8
Claimbuster,12
Claimbuster,10
Claimbuster,15
Claimbuster,40
Claimbuster,23
Claimbuster,8
Claimbuster,25
Claimbuster,27
Claimbuster,12
Claimbuster,16
Claimbuster,9
Claimbuster,10
Claimbuster,29
Claimbuster,11
Claimbuster,8
Claimbuster,12
Claimbuster,5
Claimbuster,8
Claimbuster,24
Claimbuster,11
Claimbuster,18
Claimbuster,10
Claimbuster,17
Claimbuster,14
Claimbuster,9
Claimbuster,11
Claimbuster,6
Claimbuster,24
Claimbuster,14
Claimbuster,7
Claimbuster,7
Claimbuster,8
Claimbuster,12
Claimbuster,39
Claimbuster,26
Claimbuster,10
Claimbuster,26
Claimbuster,39
Claimbuster,25
Claimbuster,8
Claimbuster,49
Claimbuster,16
Claimbuster,26
Claimbuster,12
Claimbuster,5
Claimbuster,11
Claimbuster,5
Claimbuster,38
Claimbuster,26
Claimbuster,6
Claimbuster,44
Claimbuster,18
Claimbuster,9
Claimbuster,21
Claimbuster,8
Claimbuster,7
Claimbuster,6
Claimbuster,6
Claimbuster,10
Claimbuster,7
Claimbuster,11
Claimbuster,12
Claimbuster,37
Claimbuster,13
Claimbuster,10
Claimbuster,15
Claimbuster,17
Claimbuster,20
Claimbuster,10
Claimbuster,9
Claimbuster,20
Claimbuster,18
Claimbuster,9
Claimbuster,8
Claimbuster,22
Claimbuster,6
Claimbuster,19
Claimbuster,29
Claimbuster,48
Claimbuster,7
Claimbuster,16
Claimbuster,7
Claimbuster,5
Claimbuster,8
Claimbuster,22
Claimbuster,20
Claimbuster,40
Claimbuster,58
Claimbuster,27
Claimbuster,7
Claimbuster,7
Claimbuster,23
Claimbuster,7
Claimbuster,22
Claimbuster,7
Claimbuster,6
Claimbuster,6
Claimbuster,10
Claimbuster,23
Claimbuster,8
Claimbuster,36
Claimbuster,23
Claimbuster,10
Claimbuster,13
Claimbuster,5
Claimbuster,7
Claimbuster,11
Claimbuster,43
Claimbuster,8
Claimbuster,14
Claimbuster,19
Claimbuster,17
Claimbuster,15
Claimbuster,20
Claimbuster,43
Claimbuster,24
Claimbuster,6
Claimbuster,27
Claimbuster,16
Claimbuster,25
Claimbuster,62
Claimbuster,8
Claimbuster,23
Claimbuster,28
Claimbuster,17
Claimbuster,11
Claimbuster,7
Claimbuster,5
Claimbuster,48
Claimbuster,15
Claimbuster,26
Claimbuster,49
Claimbuster,12
Claimbuster,9
Claimbuster,13
Claimbuster,43
Claimbuster,9
Claimbuster,14
Claimbuster,41
Claimbuster,51
Claimbuster,27
Claimbuster,13
Claimbuster,8
Claimbuster,18
Claimbuster,32
Claimbuster,24
Claimbuster,7
Claimbuster,14
Claimbuster,7
Claimbuster,13
Claimbuster,18
Claimbuster,25
Claimbuster,8
Claimbuster,78
Claimbuster,21
Claimbuster,23
Claimbuster,24
Claimbuster,42
Claimbuster,61
Claimbuster,20
Claimbuster,15
Claimbuster,6
Claimbuster,6
Claimbuster,5
Claimbuster,10
Claimbuster,11
Claimbuster,42
Claimbuster,11
Claimbuster,17
Claimbuster,17
Claimbuster,7
Claimbuster,24
Claimbuster,17
Claimbuster,9
Claimbuster,30
Claimbuster,5
Claimbuster,14
Claimbuster,18
Claimbuster,18
Claimbuster,20
Claimbuster,10
Claimbuster,8
Claimbuster,17
Claimbuster,39
Claimbuster,7
Claimbuster,15
Claimbuster,32
Claimbuster,30
Claimbuster,17
Claimbuster,30
Claimbuster,22
Claimbuster,23
Claimbuster,7
Claimbuster,11
Claimbuster,56
Claimbuster,13
Claimbuster,8
Claimbuster,24
Claimbuster,29
Claimbuster,31
Claimbuster,10
Claimbuster,11
Claimbuster,6
Claimbuster,44
Claimbuster,28
Claimbuster,10
Claimbuster,10
Claimbuster,11
Claimbuster,8
Claimbuster,6
Claimbuster,7
Claimbuster,12
Claimbuster,10
Claimbuster,8
Claimbuster,7
Claimbuster,61
Claimbuster,44
Claimbuster,7
Claimbuster,8
Claimbuster,8
Claimbuster,11
Claimbuster,16
Claimbuster,30
Claimbuster,26
Claimbuster,12
Claimbuster,7
Claimbuster,15
Claimbuster,13
Claimbuster,7
Claimbuster,11
Claimbuster,18
Claimbuster,15
Claimbuster,7
Claimbuster,33
Claimbuster,31
Claimbuster,19
Claimbuster,12
Claimbuster,26
Claimbuster,9
Claimbuster,23
Claimbuster,9
Claimbuster,19
Claimbuster,18
Claimbuster,20
Claimbuster,10
Claimbuster,10
Claimbuster,44
Claimbuster,22
Claimbuster,9
Claimbuster,11
Claimbuster,32
Claimbuster,42
Claimbuster,13
Claimbuster,7
Claimbuster,29
Claimbuster,19
Claimbuster,23
Claimbuster,7
Claimbuster,9
Claimbuster,15
Claimbuster,20
Claimbuster,6
Claimbuster,32
Claimbuster,5
Claimbuster,16
Claimbuster,5
Claimbuster,5
Claimbuster,25
Claimbuster,16
Claimbuster,15
Claimbuster,17
Claimbuster,6
Claimbuster,13
Claimbuster,8
Claimbuster,26
Claimbuster,6
Claimbuster,12
Claimbuster,7
Claimbuster,34
Claimbuster,16
Claimbuster,26
Claimbuster,12
Claimbuster,8
Claimbuster,32
Claimbuster,38
Claimbuster,27
Claimbuster,13
Claimbuster,26
Claimbuster,6
Claimbuster,8
Claimbuster,12
Claimbuster,8
Claimbuster,42
Claimbuster,12
Claimbuster,24
Claimbuster,5
Claimbuster,6
Claimbuster,36
Claimbuster,8
Claimbuster,26
Claimbuster,17
Claimbuster,32
Claimbuster,7
Claimbuster,11
Claimbuster,6
Claimbuster,37
Claimbuster,5
Claimbuster,15
Claimbuster,15
Claimbuster,19
Claimbuster,36
Claimbuster,17
Claimbuster,12
Claimbuster,17
Claimbuster,13
Claimbuster,14
Claimbuster,9
Claimbuster,24
Claimbuster,21
Claimbuster,19
Claimbuster,9
Claimbuster,44
Claimbuster,57
Claimbuster,24
Claimbuster,9
Claimbuster,9
Claimbuster,15
Claimbuster,50
Claimbuster,25
Claimbuster,8
Claimbuster,7
Claimbuster,8
Claimbuster,9
Claimbuster,34
Claimbuster,9
Claimbuster,14
